well_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8
D4,puc19,21.16,wt_GvpW,0.146,NN449_GvpN,0.583,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.583,NN458_GvpF,0.583,NN400_GvpA,5.833
C4,puc19,21.171,wt_GvpW,0.583,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.583,NN458_GvpF,0.583,NN400_GvpA,5.833
B4,puc19,21.218,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.583,NN457_GvpJ,0.583,NN410_GvpG,0.146,NN458_GvpF,0.583,NN400_GvpA,5.833
A4,puc19,18.791,wt_GvpW,0.583,NN449_GvpN,0.583,wt_GvpK,0.583,NN457_GvpJ,0.583,NN410_GvpG,0.583,NN458_GvpF,0.583,NN400_GvpA,5.833
H5,puc19,21.172,wt_GvpW,0.146,NN449_GvpN,0.583,wt_GvpK,0.146,NN457_GvpJ,0.583,NN410_GvpG,0.146,NN458_GvpF,0.583,NN400_GvpA,5.833
G5,puc19,21.183,wt_GvpW,0.583,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.583,NN410_GvpG,0.146,NN458_GvpF,0.583,NN400_GvpA,5.833
F5,puc19,21.144,wt_GvpW,0.146,NN449_GvpN,0.583,wt_GvpK,0.583,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.583,NN400_GvpA,5.833
E5,puc19,21.155,wt_GvpW,0.583,NN449_GvpN,0.146,wt_GvpK,0.583,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.583,NN400_GvpA,5.833
D5,puc19,21.109,wt_GvpW,0.583,NN449_GvpN,0.583,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.583,NN400_GvpA,5.833
C5,puc19,21.277,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.583,NN457_GvpJ,0.583,NN410_GvpG,0.583,NN458_GvpF,0.146,NN400_GvpA,5.833
B5,puc19,23.595,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
A5,puc19,40.094,wt_GvpW,0,NN449_GvpN,0,wt_GvpK,0,NN457_GvpJ,0,NN410_GvpG,0,NN458_GvpF,0,NN400_GvpA,0
H6,puc19,21.231,wt_GvpW,0.146,NN449_GvpN,0.583,wt_GvpK,0.146,NN457_GvpJ,0.583,NN410_GvpG,0.583,NN458_GvpF,0.146,NN400_GvpA,5.833
G6,puc19,21.242,wt_GvpW,0.583,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.583,NN410_GvpG,0.583,NN458_GvpF,0.146,NN400_GvpA,5.833
F6,puc19,21.202,wt_GvpW,0.146,NN449_GvpN,0.583,wt_GvpK,0.583,NN457_GvpJ,0.146,NN410_GvpG,0.583,NN458_GvpF,0.146,NN400_GvpA,5.833
E6,puc19,21.213,wt_GvpW,0.583,NN449_GvpN,0.146,wt_GvpK,0.583,NN457_GvpJ,0.146,NN410_GvpG,0.583,NN458_GvpF,0.146,NN400_GvpA,5.833
D6,puc19,21.167,wt_GvpW,0.583,NN449_GvpN,0.583,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.583,NN458_GvpF,0.146,NN400_GvpA,5.833
C6,puc19,21.214,wt_GvpW,0.146,NN449_GvpN,0.583,wt_GvpK,0.583,NN457_GvpJ,0.583,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
B6,puc19,21.225,wt_GvpW,0.583,NN449_GvpN,0.146,wt_GvpK,0.583,NN457_GvpJ,0.583,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
A6,puc19,18.791,wt_GvpW,0.583,NN449_GvpN,0.583,wt_GvpK,0.583,NN457_GvpJ,0.583,NN410_GvpG,0.583,NN458_GvpF,0.583,NN400_GvpA,5.833
H7,puc19,21.179,wt_GvpW,0.583,NN449_GvpN,0.583,wt_GvpK,0.146,NN457_GvpJ,0.583,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
G7,puc19,21.151,wt_GvpW,0.583,NN449_GvpN,0.583,wt_GvpK,0.583,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
F7,puc19,21.049,wt_GvpW,0.583,NN449_GvpN,0.146,wt_GvpK,0.073,NN457_GvpJ,0.292,NN410_GvpG,0.583,NN458_GvpF,0.583,NN400_GvpA,5.833
E7,puc19,20.771,wt_GvpW,0.583,NN449_GvpN,0.292,wt_GvpK,0.073,NN457_GvpJ,0.292,NN410_GvpG,0.583,NN458_GvpF,0.583,NN400_GvpA,5.833
D7,puc19,20.216,wt_GvpW,0.583,NN449_GvpN,0.583,wt_GvpK,0.073,NN457_GvpJ,0.292,NN410_GvpG,0.583,NN458_GvpF,0.583,NN400_GvpA,5.833
C7,puc19,30.71,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,1.167
B7,puc19,23.595,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
A7,puc19,40.094,wt_GvpW,0,NN449_GvpN,0,wt_GvpK,0,NN457_GvpJ,0,NN410_GvpG,0,NN458_GvpF,0,NN400_GvpA,0
H8,puc19,34.684,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.583,NN400_GvpA,1.167
G8,puc19,34.742,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.583,NN458_GvpF,0.146,NN400_GvpA,1.167
F8,puc19,34.754,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.583,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,1.167
E8,puc19,34.726,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.583,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,1.167
D8,puc19,34.68,wt_GvpW,0.146,NN449_GvpN,0.583,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,1.167
