well_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9
I14,puc19,12.0514,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
I16,puc19,11.2884,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778
I18,puc19,11.2455,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778
I20,puc19,15.2010,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.2778,m162,0.5556
I22,puc19,11.3169,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778
I24,puc19,10.1360,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
K2,puc19,11.3037,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778
K4,puc19,11.2758,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
K6,puc19,11.2866,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778
K8,puc19,11.3100,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
K10,puc19,11.2891,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
K12,puc19,11.2802,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
K14,puc19,11.2499,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778
K16,puc19,10.1493,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
K18,puc19,6.1466,m169,0.5556,m168,0.5556,m167,0.5556,m166,0.5556,m165,0.5556,m164,0.5556,m163,0.5556,m162,2.7778
K20,puc19,11.3056,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
K22,puc19,11.3049,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778
K24,puc19,11.2733,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778
M2,puc19,15.2289,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0694,m162,0.5556
M4,puc19,11.2664,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778
M6,puc19,11.2740,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778
M8,puc19,10.1126,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778
M10,puc19,11.2797,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778
M12,puc19,11.2968,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
M14,puc19,16.7602,m169,0.0694,m168,0.0000,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,0.5556
M16,puc19,12.4429,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
M18,puc19,11.6850,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
