Location,Name,Concentration,Length,Units
D11,water,1.0,0,x
D12,m166_GvpK_50fmol,17.08,0,nM
D13,water,1.0,0,x
D14,m167_GvpN_50fmol,15.33,0,nM
D15,water,1.0,0,x
D16,m168_GvpV_50fmol,17.88,0,nM
D17,water,1.0,0,x
D18,m169_GvpW_50fmol,16.23,0,nM
D19,puc19,59.05,0,nM
D20,water,1.0,0,x
D21,water,1.0,0,x
D22,water,1.0,0,x
D23,water,1.0,0,x
D24,water,1.0,0,x
E1,water,1.0,0,x
E2,m567_GvpA,35.47,0,nM
E3,m567_GvpA,35.47,0,nM
E4,m567_GvpA,35.47,0,nM
E5,m567_GvpA,35.47,0,nM
E6,m163_GvpF_50fmol,16.32,0,nM
E7,water,1.0,0,x
E8,m164_GvpG_50fmol,17.43,0,nM
E9,water,1.0,0,x
E10,m165_GvpJ_50fmol,16.27,0,nM
E11,water,1.0,0,x
E12,m166_GvpK_50fmol,17.08,0,nM
E13,water,1.0,0,x
E14,m167_GvpN_50fmol,15.33,0,nM
E15,water,1.0,0,x
E16,m168_GvpV_50fmol,17.88,0,nM
E17,water,1.0,0,x
E18,m169_GvpW_50fmol,16.23,0,nM
E19,puc19,59.05,0,nM
E20,water,1.0,0,x
E21,water,1.0,0,x
E22,water,1.0,0,x
E23,water,1.0,0,x
E24,water,1.0,0,x
F1,water,1.0,0,x
F2,m567_GvpA,35.47,0,nM
F3,m567_GvpA,35.47,0,nM
