well_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9
G11,puc19,9.368767867,m169,1.590909091,m168,1.590909091,m167,1.590909091,m166,1.590909091,m165,1.590909091,m164,1.590909091,m163,1.590909091,m162,11.93181818
F11,puc19,1.135842936,m169,1.590909091,m168,1.590909091,m167,1.590909091,m166,1.590909091,m165,1.590909091,m164,1.590909091,m163,1.590909091,m162,15.90909091
E11,puc19,3.205920104,m169,0.795454545,m168,0.795454545,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0.795454545,m163,0.795454545,m162,19.88636364
D11,puc19,31.14174475,m169,0.795454545,m168,0.198863636,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0.198863636,m163,0.198863636,m162,7.954545455
C11,puc19,31.14885231,m169,0.198863636,m168,0.198863636,m167,0.795454545,m166,0.198863636,m165,0.795454545,m164,0.795454545,m163,0.795454545,m162,7.954545455
B11,puc19,31.23414304,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.795454545,m165,0.795454545,m164,0.795454545,m163,0.795454545,m162,7.954545455
A11,puc19,54.67354686,m169,0,m168,0,m167,0,m166,0,m165,0,m164,0,m163,0,m162,0
H12,puc19,31.2392516,m169,0.198863636,m168,0.795454545,m167,0.198863636,m166,0.795454545,m165,0.795454545,m164,0.198863636,m163,0.795454545,m162,7.954545455
G12,puc19,31.15396087,m169,0.198863636,m168,0.795454545,m167,0.795454545,m166,0.198863636,m165,0.795454545,m164,0.198863636,m163,0.795454545,m162,7.954545455
F12,puc19,31.25191195,m169,0.795454545,m168,0.795454545,m167,0.198863636,m166,0.795454545,m165,0.795454545,m164,0.198863636,m163,0.198863636,m162,7.954545455
E12,puc19,31.27367885,m169,0.795454545,m168,0.795454545,m167,0.198863636,m166,0.198863636,m165,0.198863636,m164,0.795454545,m163,0.795454545,m162,7.954545455
D12,puc19,31.20882236,m169,0.198863636,m168,0.198863636,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0.795454545,m163,0.198863636,m162,7.954545455
C12,puc19,31.21393092,m169,0.198863636,m168,0.795454545,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0.198863636,m163,0.198863636,m162,7.954545455
B12,puc19,31.0817747,m169,0.795454545,m168,0.198863636,m167,0.795454545,m166,0.198863636,m165,0.795454545,m164,0.198863636,m163,0.795454545,m162,7.954545455
A12,puc19,19.67176996,m169,0.795454545,m168,0.795454545,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0.795454545,m163,0.795454545,m162,11.93181818
